date,platform,total_fee,total_transport_cost,total_partner_payout
2022-05-09,Ebay,23.23,5,-3.65
2022-05-09,Bol,19.72,3.5,7.37
2022-05-10,Bol,50.04,3.5,56.74
2022-05-11,Bol,23.31,3.5,30.01
2022-05-12,Bva NL,51.15,3.5,103.29
2022-05-14,Amazon,46.14,5,20.6
2022-05-15,Bol,27.92,3.5,17.75
2022-05-16,Bva NL,33.99,4,-1.72
2022-05-16,Kaufland,46.99,5,109.75
2022-05-20,Ebay,40.81,5,86.63
2022-05-21,Ebay,28.59,3.5,34.51
2022-05-21,Bol,22.54,3.5,5.9
2022-05-23,Bol,49.13,3.5,6.63
2022-05-24,Bol,44.31,3.5,-5.64
2022-05-26,Bol,21.99,3.5,19.34
2022-05-31,Amazon,23.75,4,32.07
2022-05-31,Kaufland,29.49,5,12
2022-05-31,Bol,23.74,3.5,45.87
2022-06-01,Amazon,48.84,6.5,64.97
2022-06-02,Bol,31.49,3.5,46.32
2022-06-04,Bol,31.15,3.5,13.96
2022-06-05,Amazon,24.46,6.5,1.57
2022-06-05,Bol,75.23,3.5,199.67
2022-06-06,Bol,62.25,4,71.01
2022-06-14,Bol,21.22,3.5,49.99
2022-06-17,Bol,29.98,3.5,-6.95
2022-06-18,Bol,43.56,7,9.63
2022-06-19,Bol,32.55,3.5,-6.07
2022-06-22,Amazon,52.36,13,-21.53
2022-06-22,Bol,39.15,3.5,-3.78
2022-06-23,Amazon,34.27,7,38.13
2022-06-24,Bol,90.14,3.5,196.52
2022-06-30,Bol,21.03,3.5,-11.92
2022-07-01,Ebay,146.69,10,440.8
2022-07-02,Amazon,42.95,6.5,7.69
2022-07-05,Amazon,32.83,5,42
2022-07-06,Bva NL,29.54,3.5,21.95
2022-07-11,Bol,23.34,3.5,9.94
2022-07-12,Bol,101.06,7,169.53
2022-07-13,Bol,39.21,7.5,47.15
2022-07-14,Bva NL,29.31,3.5,-18.78
2022-07-17,Bva NL,20.7,3.5,-11.32
2022-07-18,Bol,103.56,7,153.72
2022-07-19,Bol,30.49,3.5,-21.06
2022-07-20,Bol,61.06,10.5,60.1
2022-07-22,Bol,101.73,11,260.04
2022-07-22,Bva NL,10.31,3.5,-0.93
2022-07-24,Bva NL,34.23,3.5,-0.29
2022-07-29,Bol,24.72,3.5,22.32
2022-08-02,Bol,172.86,14.5,189.24
2022-08-02,Ebay,18.85,5,20.02
2022-08-03,Bva NL,64.94,3.5,169.07
2022-08-05,Amazon,42.97,7,55.16
2022-08-06,Bol,15.09,4,3.93
2022-08-08,Bol,91.41,3.5,166.25
2022-08-10,Bva NL,29.81,3.5,-16.93
2022-08-10,Bol,24.64,3.5,7.79
2022-08-11,Bol,65.48,7.5,77.36
2022-08-11,Ebay,44.44,5,26.44
2022-08-11,Bva NL,24.1,3.5,27.39
2022-08-14,Ebay,18.54,5,8.4
2022-08-16,Bol,28.55,4,20.71
2022-08-22,Bol,20.84,3.5,31.99
2022-08-24,Bol,85.88,7,182.51
2022-08-24,Bva NL,11.04,3.5,1.84
2022-08-25,Bol,44.52,4,-5.63
2022-08-26,Amazon,37.76,6.5,89.74
2022-08-26,Bol,87.84,7.5,140.19
2022-08-29,Ebay,48.08,3.5,81.74
2022-08-31,Bol,102.08,14.5,230.84
2022-09-04,Bol,53.28,3.5,16.43
2022-09-05,Bva NL,77.88,7.5,189.56
2022-09-05,Bol,39.99,3.5,87.11
2022-09-07,Bol,77.81,10.5,108.61
2022-09-08,Bva NL,24.83,3.5,30.16
2022-09-12,Amazon,48.71,7,36.67
2022-09-18,Amazon,14.36,5,2.65
2022-09-19,Backmarket FR,88.7,6.5,278.97
2022-09-26,Ebay,41.43,5,61.57
2022-09-26,Bva NL,39.63,3.5,73.87
2022-09-28,Bol,17.77,3.5,18.33
2022-10-02,Ebay,47.68,5,94.8
2022-10-03,Bol,95.17,3.5,171.96
2022-10-05,Bol,98.87,11,145.79
2022-10-06,Bol,92.97,7,66.26
2022-10-10,Bol,30.43,3.5,43.81
2022-10-12,Bol,27.48,4,27.28
